,area,mean_intensity,minor_axis_length,major_axis_length,eccentricity,extent,feret_diameter_max,equivalent_diameter_area,bbox-0,bbox-1,bbox-2,bbox-3
0,422,192.3791469194313,16.48854951961423,34.56678887933311,0.8789002915133097,0.5861111111111111,35.22782990761707,23.179885415554555,0,11,30,35
1,182,180.13186813186815,11.736073970927405,20.80269670059058,0.8256646777589122,0.7878787878787878,21.37755832643195,15.222667215103916,0,53,11,74
2,661,205.2163388804841,28.409502499482606,30.20843327139941,0.33993374910571544,0.8743386243386243,32.7566787083184,29.010538413996088,0,95,28,122
3,437,216.5858123569794,23.14399593782219,24.60612974634896,0.33957640752085894,0.8260869565217391,26.92582403567252,23.58825303088947,0,144,23,167
4,476,212.30252100840337,19.852881546156773,31.07510563816799,0.7693166125791174,0.8638838475499092,31.38470965295043,24.61832697999475,0,237,29,256
5,277,206.4693140794224,17.523565389843426,20.151369709296482,0.49376260607022526,0.7694444444444445,20.8806130178211,18.77997214831907,6,189,26,207
6,259,178.007722007722,15.30908017836905,21.76130160907236,0.7106950536491141,0.7357954545454546,22.80350850198276,18.159544104586082,17,211,39,227
7,219,191.59817351598173,15.745457889012394,17.729016906987827,0.45961563629924074,0.7604166666666666,18.681541692269406,16.698486766680407,18,37,36,53
8,67,167.52238805970148,8.731267915721903,9.76175209574853,0.447194866920151,0.8271604938271605,10.295630140987,9.23618154310838,18,133,27,142
9,19,155.3684210526316,1.967200617175118,11.358057403983025,0.9848869047710224,0.8636363636363636,11.0,4.918490759365935,21,0,32,2
10,486,190.94650205761317,24.02896154601964,25.83617991194104,0.3674307872622541,0.7476923076923077,26.92582403567252,24.875578761936154,21,162,47,187
11,630,173.6,24.460212090010707,33.02088095141446,0.6717809785396017,0.7258064516129032,33.83784863137726,28.32209231647889,26,59,57,87
12,221,197.93665158371041,15.72498940211808,17.96356809304681,0.4834313225272926,0.7673611111111112,18.973665961010276,16.774562271083887,39,225,57,241
13,78,173.12820512820514,8.701499488163451,11.377331408159852,0.6442556224815726,0.7878787878787878,11.704699910719626,9.965574970333758,40,4,51,13
14,449,208.76614699331847,21.87148519574908,26.16578375376277,0.5489104818334948,0.784965034965035,26.92582403567252,23.90992587997897,42,128,68,150
15,516,194.4031007751938,23.5854676213059,27.907938891683155,0.5345817224179785,0.7678571428571429,28.861739379323623,25.631847476983474,44,17,72,41
16,390,180.77948717948718,14.516045777742521,35.225879509723796,0.9111455454492716,0.5990783410138248,34.0147027033899,22.283703068536735,44,184,75,205
17,419,196.84964200477327,19.32195687615306,27.6492985129461,0.7152949478800585,0.7759259259259259,28.160255680657446,23.09734550211416,60,89,87,109
18,267,200.95880149812734,15.852067357423575,21.526929691167425,0.676564794085438,0.7478991596638656,22.47220505424423,18.437867513470433,60,206,81,223
19,353,189.77903682719545,19.591589731780815,23.05533005930752,0.5271632827375705,0.800453514739229,24.186773244895647,21.200319792199185,63,235,84,256
20,151,186.2251655629139,12.5553443851764,15.366154007316423,0.5765273232773395,0.7743589743589744,16.15549442140351,13.86575534383214,66,162,81,175
21,400,187.96,21.493444217870593,23.768980955297295,0.4269728623902844,0.7905138339920948,24.698178070456937,22.56758334191025,73,53,96,75
22,426,201.57746478873239,18.0734278513471,32.222507607361116,0.8278872751997759,0.6761904761904762,31.953090617340916,23.28948359361322,75,117,96,147
23,246,182.1138211382114,16.396004505357105,19.11147915711623,0.5137934026049105,0.8092105263157895,19.924858845171276,17.697935698969246,77,26,96,42
24,503,198.64811133200794,19.812612397944168,33.32379412751015,0.8040597367538631,0.8273026315789473,32.7566787083184,25.30690599424961,82,0,114,19
25,278,190.18705035971223,17.676431598455636,20.013055494849556,0.46891175593385226,0.8128654970760234,21.02379604162864,18.81384047546846,86,214,105,232
26,681,198.30837004405285,24.756298670703107,36.31007428314016,0.7315363143323186,0.7703619909502263,35.4682957019364,29.44615645486938,88,157,114,191
27,176,195.27272727272728,11.465202720653027,20.51693904390602,0.8292913798422591,0.8,20.8806130178211,14.96964127403822,95,245,115,256
28,358,197.7877094972067,19.239194852620805,23.71119799854544,0.5844954346857218,0.8192219679633868,24.351591323771842,21.349935761383176,102,92,121,115
29,544,198.4558823529412,23.888675170463177,29.10074138732788,0.5710780628598816,0.7555555555555555,30.59411708155671,26.318098569918163,108,25,138,49
30,597,190.95477386934672,17.078429488768045,47.45100790555335,0.9329842850238073,0.5527777777777778,44.721359549995796,27.570346537664197,110,113,150,140
31,181,184.88397790055248,14.3193997319355,16.165879840626438,0.4641069387058056,0.7541666666666667,17.08800749063506,15.180789096653193,115,56,131,71
32,629,193.66613672496027,20.719000074200803,40.268495145786815,0.8574775745690728,0.6197044334975369,38.58756276314948,28.299605538565682,115,151,150,180
33,596,210.06711409395973,26.320789117649294,28.93179826133482,0.41515003439964715,0.7904509283819628,29.832867780352597,27.547246117573295,115,210,141,239
34,5,161.6,1.7888543819998317,3.098386676965933,0.816496580927726,0.8333333333333334,3.1622776601683795,2.5231325220201604,125,252,127,255
35,263,190.02281368821292,16.48782319752517,20.421312365908438,0.5900275192043914,0.821875,21.18962010041709,18.29923496393627,130,0,150,16
36,899,198.29143492769745,21.753901013761546,54.500295989559966,0.9168847787282084,0.6659259259259259,52.20153254455275,33.83256346653194,137,75,187,102
37,476,204.92436974789916,19.190883693927283,32.84922326048113,0.8116016816540315,0.6898550724637681,34.9857113690718,24.61832697999475,137,233,167,256
38,233,193.16738197424894,15.739524565306647,18.87938833500705,0.5522353406830317,0.7664473684210527,19.924858845171276,17.22396045987371,138,59,157,75
39,164,184.6341463414634,12.56394902505307,16.627804702922187,0.6550347140601438,0.7884615384615384,17.46424919657298,14.450303987687134,149,182,165,195
40,394,181.4010152284264,19.397477774722873,25.916249721084462,0.6631711613375763,0.7786561264822134,26.627053911388696,22.397686948112614,153,125,175,148
41,411,200.2530413625304,20.479550857759328,25.62850227470542,0.6012077394082627,0.7784090909090909,26.92582403567252,22.875783109789968,157,5,181,27
42,235,189.1404255319149,16.093272002895894,18.630718986350658,0.5038296138528644,0.8159722222222222,19.313207915827967,17.297725082009,158,206,176,222
43,375,195.49866666666668,19.103890377422527,25.022467273380997,0.6458438935284438,0.7894736842105263,25.495097567963924,21.850968611841584,160,35,185,54
44,654,199.70642201834863,27.176615601714733,30.91464637071504,0.47666422543265474,0.8074074074074075,32.31098884280702,28.856518540128786,166,167,196,194
45,376,208.63829787234042,20.552666083794165,23.33806121112725,0.47376723237429547,0.7768595041322314,24.596747752497688,21.880083839428522,174,222,196,244
46,579,200.64939550949913,26.48486595300526,27.88400105966965,0.31278785211707616,0.7953296703296703,29.154759474226502,27.151532118863187,185,116,211,144
47,64,190.25,5.354655466624678,15.92559386125825,0.9417800597138049,0.8,16.0312195418814,9.0270333367641,193,251,209,256
48,161,183.9503105590062,12.610918531456491,16.27492152554619,0.6321228767441678,0.7740384615384616,17.08800749063506,14.317526556719258,195,200,211,213
